iters;threads;time;
400000000;1;89.6137;
400000000;2;45.0467;
400000000;3;31.6486;
400000000;4;23.6908;
400000000;5;18.6836;
400000000;6;18.2357;
400000000;7;16.1139;
400000000;8;13.3466;
400000000;9;11.9312;
400000000;10;12.5693;
400000000;11;11.1669;
400000000;12;10.1624;
400000000;13;9.30171;
400000000;14;9.06335;
400000000;15;7.93399;
400000000;16;9.41943;
400000000;17;10.2848;
400000000;18;8.35666;
400000000;19;8.76023;
400000000;20;9.42143;
400000000;21;8.37657;
400000000;22;9.16611;
400000000;23;13.9487;
400000000;24;11.9039;
400000000;25;12.5792;
400000000;26;16.4916;
400000000;27;14.1872;
400000000;28;25.4724;
400000000;29;13.1445;
400000000;30;12.632;
400000000;31;12.3531;
400000000;32;13.1961;
400000000;33;13.1862;
400000000;34;5.36017;
400000000;35;4.79774;
400000000;36;4.25561;
400000000;37;4.97863;
400000000;38;4.33835;
400000000;39;4.25517;
400000000;40;4.6942;
400000000;41;4.20792;
400000000;42;3.25362;
400000000;43;3.14838;
400000000;44;2.89349;
400000000;45;3.3257;
400000000;46;2.89281;
400000000;47;2.91066;
400000000;48;2.995;
400000000;49;2.74952;
400000000;50;2.92211;
400000000;51;2.85305;
400000000;52;2.75604;
400000000;53;2.66568;
400000000;54;2.74682;
400000000;55;2.72955;
400000000;56;2.7969;
400000000;57;2.79702;
400000000;58;2.96005;
400000000;59;2.90607;
400000000;60;2.77681;
400000000;61;8.65407;
400000000;62;13.2423;
400000000;63;16.5007;
400000000;64;3.21668;
400000000;65;2.90459;
400000000;66;2.68916;
400000000;67;3.0076;
400000000;68;2.86953;
400000000;69;3.3112;
400000000;70;3.40093;
400000000;71;4.25748;
400000000;72;4.1394;
400000000;73;6.02444;
400000000;74;6.00372;
400000000;75;4.64791;
400000000;76;5.4313;
400000000;77;5.26692;
400000000;78;7.09488;
400000000;79;5.68424;
400000000;80;5.44464;

iters;threads;time;
400000000;1;86.2683;
400000000;2;25.5047;
400000000;3;0.0729415;
400000000;4;0.0515081;
400000000;5;0.0261033;
400000000;6;0.0183504;
400000000;7;0.0133379;
400000000;8;0.0102548;
400000000;9;0.00807055;
400000000;10;0.0064679;
400000000;11;0.00525594;
400000000;12;0.00448402;
400000000;13;0.00388519;
400000000;14;0.00334024;
400000000;15;0.00317677;
400000000;16;0.00376908;
400000000;17;0.0024089;
400000000;18;0.0021282;
400000000;19;0.00237886;
400000000;20;0.0022467;
400000000;21;0.00173044;
400000000;22;0.0016067;
400000000;23;0.00160241;
400000000;24;0.00151753;
400000000;25;0.00143043;
400000000;26;0.0015649;
400000000;27;0.00133999;
400000000;28;0.00127633;
400000000;29;0.00121172;
400000000;30;0.00118224;
400000000;31;0.00112375;
400000000;32;0.00108393;
400000000;33;0.00105818;
400000000;34;0.00102139;
400000000;35;0.00100032;
400000000;36;0.000980139;
400000000;37;0.000942469;
400000000;38;0.000907501;
400000000;39;0.000910997;
400000000;40;0.000880718;
400000000;41;0.000977755;
400000000;42;0.000946681;
400000000;43;0.000974178;
400000000;44;0.000953992;
400000000;45;0.000880559;
400000000;46;0.000689427;
400000000;47;0.000714302;
400000000;48;0.0007538;
400000000;49;0.000609636;
400000000;50;0.000582298;
400000000;51;0.000566244;
400000000;52;0.000561714;
400000000;53;0.000504414;
400000000;54;0.000514587;
400000000;55;0.000661373;
400000000;56;0.000376225;
400000000;57;0.000441233;
400000000;58;0.000419935;
400000000;59;0.000470718;
400000000;60;0.00048542;
400000000;61;0.000395377;
400000000;62;0.000359694;
400000000;63;0.000323455;
400000000;64;0.000282764;
400000000;65;0.000282288;
400000000;66;0.000221411;
400000000;67;0.000225306;
400000000;68;0.000229518;
400000000;69;0.000221888;
400000000;70;0.000218709;
400000000;71;0.000189781;
400000000;72;0.000190655;
400000000;73;0.000213544;
400000000;74;0.00018692;
400000000;75;0.000187476;
400000000;76;0.000199238;
400000000;77;0.000186364;
400000000;78;0.000261068;
400000000;79;0.000184854;
400000000;80;0.000245174;

