iters;threads;time;
400000000;1;82.2465;
400000000;2;47.5392;
400000000;3;28.8163;
400000000;4;21.7425;
400000000;5;17.3454;
400000000;6;14.5342;
400000000;7;12.5683;
400000000;8;10.9789;
400000000;9;9.84372;
400000000;10;8.88143;
400000000;11;8.16453;
400000000;12;7.31703;
400000000;13;6.80631;
400000000;14;6.946;
400000000;15;6.93449;
400000000;16;6.62471;
400000000;17;6.57784;
400000000;18;6.63584;
400000000;19;6.61107;
400000000;20;6.68246;
400000000;21;6.5777;
400000000;22;6.70606;
400000000;23;6.35724;
400000000;24;6.59835;
400000000;25;6.21237;
400000000;26;6.36676;
400000000;27;6.32189;
400000000;28;6.4422;
400000000;29;6.28263;
400000000;30;6.35881;
400000000;31;6.57155;
400000000;32;6.53322;
400000000;33;6.16667;
400000000;34;6.36187;
400000000;35;6.01607;
400000000;36;6.13566;
400000000;37;6.45181;
400000000;38;6.20737;
400000000;39;6.21802;
400000000;40;6.39478;
400000000;41;6.37306;
400000000;42;6.30316;
400000000;43;6.03114;
400000000;44;6.27888;
400000000;45;6.19401;
400000000;46;6.34773;
400000000;47;6.22887;
400000000;48;6.4217;
400000000;49;6.04252;
400000000;50;4.38464;
400000000;51;4.52806;
400000000;52;6.34418;
400000000;53;6.21735;
400000000;54;6.07644;
400000000;55;6.1219;
400000000;56;6.34064;
400000000;57;6.07603;
400000000;58;6.13516;
400000000;59;6.18787;
400000000;60;6.40748;
400000000;61;1.32422;
400000000;62;3.16374;
400000000;63;3.79585;
400000000;64;6.41045;
400000000;65;6.08618;
400000000;66;6.40543;
400000000;67;6.04432;
400000000;68;6.31409;
400000000;69;5.94681;
400000000;70;4.78867;
400000000;71;4.51322;
400000000;72;2.63682;
400000000;73;0.822815;
400000000;74;1.56038;
400000000;75;1.73138;
400000000;76;1.26025;
400000000;77;0.663976;
400000000;78;1.09416;
400000000;79;0.648289;
400000000;80;0.207547;

